seqid,start,end,strand,length,product
NC_014532.2,808287,809261,+,975,malate dehydrogenase
NC_014532.2,809560,810216,-,657,HAD family phosphatase
NC_014532.2,810377,810871,+,495,RNA pyrophosphohydrolase
NC_014532.2,810949,813210,+,2262,phosphoenolpyruvate--protein phosphotransferase
NC_014532.2,813238,814002,-,765,NRDE family protein
NC_014532.2,814110,815198,+,1089,response regulator
NC_014532.2,815198,815992,+,795,sulfite exporter TauE/SafE family protein
NC_014532.2,816107,816886,+,780,prolipoprotein diacylglyceryl transferase
NC_014532.2,817164,818018,+,855,thymidylate synthase
NC_014532.2,818015,818554,+,540,dihydrofolate reductase
NC_014532.2,818620,819702,+,1083,ProQ/FINO family protein
NC_014532.2,820104,821204,+,1101,porin
NC_014532.2,821305,822348,+,1044,hypothetical protein
NC_014532.2,822577,824559,+,1983,diguanylate cyclase domain-containing protein
NC_014532.2,824745,825569,+,825,methyltransferase domain-containing protein
NC_014532.2,825566,826555,+,990,class I SAM-dependent methyltransferase
NC_014532.2,826559,827098,-,540,transcription elongation factor GreB
NC_014532.2,827275,827910,+,636,TRAP transporter TatT component family protein
NC_014532.2,827990,828637,+,648,NUDIX domain-containing protein
NC_014532.2,828639,829085,+,447,DUF1249 domain-containing protein
NC_014532.2,829085,829816,+,732,metallophosphoesterase
NC_014532.2,829985,830956,+,972,sulfate adenylyltransferase subunit CysD
NC_014532.2,830962,831204,+,243,four helix bundle protein
NC_014532.2,831253,832680,+,1428,sulfate adenylyltransferase subunit CysN
NC_014532.2,832793,833800,-,1008,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
NC_014532.2,833803,834546,-,744,carboxy-S-adenosyl-L-methionine synthase CmoA
NC_014532.2,834633,836318,+,1686,glucose-6-phosphate isomerase
NC_014532.2,836372,836998,+,627,YqiA/YcfP family alpha/beta fold hydrolase
NC_014532.2,837105,838985,+,1881,DNA topoisomerase IV subunit B
NC_014532.2,839153,841411,+,2259,DNA topoisomerase IV subunit A
NC_014532.2,841505,842716,+,1212,phosphoserine phosphatase SerB
NC_014532.2,842727,843587,+,861,ion transporter
NC_014532.2,843668,844711,+,1044,M4 family metallopeptidase
NC_014532.2,844708,845064,+,357,protealysin inhibitor emfourin
NC_014532.2,845372,847078,+,1707,2-isopropylmalate synthase
NC_014532.2,847186,848202,-,1017,EF-P beta-lysylation protein EpmB
NC_014532.2,848311,848877,+,567,elongation factor P
NC_014532.2,849076,850050,+,975,EF-P lysine aminoacylase EpmA
NC_014532.2,850051,850938,-,888,archaetidylserine decarboxylase
NC_014532.2,851046,851876,-,831,sulfurtransferase
NC_014532.2,851891,852952,-,1062,small ribosomal subunit biogenesis GTPase RsgA
NC_014532.2,853040,853633,+,594,oligoribonuclease
NC_014532.2,853688,854488,-,801,SIMPL domain-containing protein
NC_014532.2,854681,855796,+,1116,AI-2E family transporter
NC_014532.2,855865,856188,-,324,thioredoxin
NC_014532.2,856424,857395,+,972,HTH-type transcriptional regulator CysB
NC_014532.2,857477,858097,-,621,phosphoadenosine phosphosulfate reductase family protein
NC_014532.2,858217,859569,-,1353,aminodeoxychorismate synthase component I
NC_014532.2,859799,860530,+,732,GntR family transcriptional regulator
NC_014532.2,860542,861432,+,891,methylisocitrate lyase
NC_014532.2,861489,862616,+,1128,2-methylcitrate synthase
NC_014532.2,862715,864199,+,1485,2-methylcitrate dehydratase
NC_014532.2,870284,871864,+,1581,BCCT family transporter
NC_014532.2,872000,873070,+,1071,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM
NC_014532.2,873099,873386,-,288,antibiotic biosynthesis monooxygenase
NC_014532.2,873431,873688,+,258,sulfurtransferase TusA
NC_014532.2,873864,874571,-,708,hypothetical protein
NC_014532.2,874709,875692,-,984,DUF3080 family protein
NC_014532.2,875724,877175,-,1452,MATE family efflux transporter
NC_014532.2,877327,877878,+,552,elongation factor P hydroxylase
NC_014532.2,877885,878364,-,480,hypothetical protein
NC_014532.2,878367,879254,-,888,TatD family hydrolase
NC_014532.2,879369,881312,+,1944,ATP-binding cassette domain-containing protein
NC_014532.2,881544,882005,-,462,universal stress protein
NC_014532.2,882155,882703,+,549,hypothetical protein
NC_014532.2,882708,883148,-,441,transcriptional regulator SlyA
NC_014532.2,883224,884462,-,1239,DUF5924 family protein
NC_014532.2,884602,886785,+,2184,fatty acid oxidation complex subunit alpha FadB
NC_014532.2,886843,888021,+,1179,acetyl-CoA C-acyltransferase FadA
NC_014532.2,888123,888584,-,462,flavodoxin family protein
NC_014532.2,888736,889212,+,477,YbhB/YbcL family Raf kinase inhibitor-like protein
NC_014532.2,889249,889821,+,573,RimK/LysX family protein
NC_014532.2,889863,890228,+,366,thiol-disulfide oxidoreductase DCC family protein
NC_014532.2,890394,891335,+,942,LysR family transcriptional regulator
NC_014532.2,891325,892353,-,1029,aldo/keto reductase
NC_014532.2,892478,893749,-,1272,MFS transporter
NC_014532.2,893792,894277,+,486,redox-sensitive transcriptional activator SoxR
NC_014532.2,894293,894874,-,582,NADPH-dependent FMN reductase
NC_014532.2,895053,896516,-,1464,sodium:alanine symporter family protein
NC_014532.2,896747,897205,+,459,nucleoside deaminase
NC_014532.2,897263,897580,+,318,antibiotic biosynthesis monooxygenase
NC_014532.2,897655,897993,+,339,zinc ribbon domain-containing protein YjdM
NC_014532.2,898262,899293,-,1032,transcriptional regulator FtrA
NC_014532.2,899353,899769,+,417,rhodanese-like domain-containing protein
NC_014532.2,899766,900278,+,513,GNAT family N-acetyltransferase
NC_014532.2,900292,901194,-,903,complex I NDUFA9 subunit family protein
NC_014532.2,901216,902217,-,1002,NADP-dependent oxidoreductase
NC_014532.2,902406,903203,+,798,FadR/GntR family transcriptional regulator
NC_014532.2,903200,904219,+,1020,TRAP transporter substrate-binding protein
NC_014532.2,904309,904905,+,597,TRAP transporter small permease subunit
NC_014532.2,904905,906209,+,1305,TRAP transporter large permease subunit
NC_014532.2,906314,907462,+,1149,galactonate dehydratase
NC_014532.2,907476,908129,+,654,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
NC_014532.2,908126,909031,+,906,2-dehydro-3-deoxygalactonokinase
NC_014532.2,909150,909668,-,519,gluconokinase
NC_014532.2,909968,910429,+,462,SUF system Fe-S cluster assembly regulator
NC_014532.2,910500,911942,+,1443,Fe-S cluster assembly protein SufB
NC_014532.2,912103,912855,+,753,Fe-S cluster assembly ATPase SufC
NC_014532.2,912852,914198,+,1347,Fe-S cluster assembly protein SufD
NC_014532.2,914202,915443,+,1242,aminotransferase class V-fold PLP-dependent enzyme
NC_014532.2,915462,916034,+,573,putative Fe-S cluster assembly protein SufT
NC_014532.2,916124,916885,+,762,vancomycin high temperature exclusion protein
NC_014532.2,916806,917252,-,447,hypothetical protein
NC_014532.2,917341,918249,-,909,30S ribosomal protein S6--L-glutamate ligase
NC_014532.2,918290,918727,-,438,RimK/LysX family protein
NC_014532.2,918750,919775,-,1026,DUF3549 family protein
NC_014532.2,920111,920887,+,777,amino acid ABC transporter substrate-binding protein
NC_014532.2,920906,921580,+,675,amino acid ABC transporter permease
NC_014532.2,921577,922335,+,759,amino acid ABC transporter ATP-binding protein
NC_014532.2,922404,922736,+,333,YqcC family protein
NC_014532.2,922800,923300,+,501,gamma-glutamylcyclotransferase family protein
NC_014532.2,923453,924046,-,594,OmpW family protein
NC_014532.2,924326,924619,+,294,hypothetical protein
NC_014532.2,924722,926212,-,1491,sodium/proline symporter PutP
NC_014532.2,926673,926984,+,312,hypothetical protein
NC_014532.2,926958,930149,-,3192,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA
NC_014532.2,930337,931137,-,801,AraC family transcriptional regulator
NC_014532.2,931204,931575,-,372,hypothetical protein
NC_014532.2,931968,932375,-,408,CBS domain-containing protein
NC_014532.2,932613,933203,+,591,YqaE/Pmp3 family membrane protein
NC_014532.2,933309,934175,+,867,carboxylate/amino acid/amine transporter
NC_014532.2,934244,935125,+,882,NAD(+) kinase
NC_014532.2,935127,936131,+,1005,metallophosphoesterase
NC_014532.2,936309,937160,+,852,rhomboid family intramembrane serine protease
NC_014532.2,937188,937472,+,285,YeaC family protein
NC_014532.2,937501,938301,+,801,DUF2797 domain-containing protein
NC_014532.2,938357,939043,+,687,glutathione S-transferase family protein
NC_014532.2,939074,939967,+,894,hypothetical protein
NC_014532.2,940016,941092,-,1077,PA0069 family radical SAM protein
NC_014532.2,941248,942858,+,1611,glucan biosynthesis protein
NC_014532.2,942940,943998,+,1059,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
NC_014532.2,943985,944968,+,984,adenosylcobinamide-phosphate synthase CbiB
NC_014532.2,944965,946050,+,1086,threonine-phosphate decarboxylase CobD
NC_014532.2,946047,946583,+,537,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
NC_014532.2,946580,947338,+,759,adenosylcobinamide-GDP ribazoletransferase
NC_014532.2,947290,947928,+,639,histidine phosphatase family protein
NC_014532.2,947880,948323,+,444,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
NC_014532.2,948686,950509,+,1824,TonB-dependent receptor domain-containing protein
NC_014532.2,950539,951420,+,882,cobalamin-binding protein
NC_014532.2,951407,952405,+,999,iron ABC transporter permease
NC_014532.2,952405,953172,+,768,ABC transporter ATP-binding protein
NC_014532.2,953198,953962,-,765,ABC transporter ATP-binding protein
NC_014532.2,953959,955026,-,1068,iron ABC transporter permease
NC_014532.2,955023,956039,-,1017,ABC transporter substrate-binding protein
NC_014532.2,956718,958457,+,1740,AAA family ATPase
NC_014532.2,958454,959827,+,1374,"cobyrinate a,c-diamide synthase"
NC_014532.2,959824,960936,+,1113,cobalamin biosynthesis protein CobW
NC_014532.2,960936,964805,+,3870,cobaltochelatase subunit CobN
NC_014532.2,964855,965979,+,1125,cobalamin biosynthesis protein CobG
NC_014532.2,965963,966592,+,630,precorrin-8X methylmutase
NC_014532.2,966589,967314,+,726,precorrin-2 C(20)-methyltransferase
NC_014532.2,967311,968126,+,816,precorrin-3B C(17)-methyltransferase
NC_014532.2,968171,968914,-,744,cobalt-precorrin-6A reductase
NC_014532.2,968916,970139,+,1224,bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase
NC_014532.2,970136,970519,+,384,cobalamin biosynthesis protein
NC_014532.2,970516,971316,+,801,precorrin-4 C(11)-methyltransferase
NC_014532.2,971313,972092,+,780,precorrin-6A synthase (deacetylating)
NC_014532.2,972122,972727,+,606,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
NC_014532.2,972724,973431,+,708,"5,6-dimethylbenzimidazole synthase"
NC_014532.2,973431,974879,+,1449,cobyric acid synthase
NC_014532.2,974926,975726,+,801,YiiX/YebB-like N1pC/P60 family cysteine hydrolase
NC_014532.2,975674,976435,-,762,glycerophosphoryl diester phosphodiesterase
NC_014532.2,976402,977517,-,1116,sn-glycerol-3-phosphate import ATP-binding protein UgpC
NC_014532.2,977546,978391,-,846,sn-glycerol-3-phosphate ABC transporter permease UgpE
NC_014532.2,978410,979285,-,876,sn-glycerol-3-phosphate ABC transporter permease UgpA
NC_014532.2,979354,980670,-,1317,sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB
NC_014532.2,981098,981670,+,573,hypothetical protein
NC_014532.2,981737,982204,-,468,azurin
NC_014532.2,982393,983370,+,978,NADPH:quinone reductase
NC_014532.2,983404,984309,-,906,MurR/RpiR family transcriptional regulator
NC_014532.2,984468,985796,+,1329,aspartate aminotransferase family protein
NC_014532.2,985809,986378,+,570,carboxymuconolactone decarboxylase family protein
NC_014532.2,986473,988272,+,1800,SLC13 family permease
NC_014532.2,988346,990793,-,2448,acyl-CoA dehydrogenase
NC_014532.2,990994,992685,-,1692,choline dehydrogenase
NC_014532.2,992862,994331,-,1470,betaine-aldehyde dehydrogenase
NC_014532.2,994343,994975,-,633,transcriptional regulator BetI
NC_014532.2,995183,996127,+,945,choline ABC transporter substrate-binding protein
NC_014532.2,997182,997598,-,417,hypothetical protein
NC_014532.2,997708,998478,-,771,copper resistance protein B
NC_014532.2,998496,1000238,-,1743,copper resistance system multicopper oxidase
NC_014532.2,1000313,1001650,-,1338,ATP-binding protein
NC_014532.2,1001619,1002284,-,666,response regulator
NC_014532.2,1002288,1002782,-,495,plastocyanin/azurin family copper-binding protein
NC_014532.2,1002916,1004130,-,1215,MFS transporter
NC_014532.2,1004253,1005086,+,834,helix-turn-helix transcriptional regulator
NC_014532.2,1005204,1005647,-,444,hypothetical protein
NC_014532.2,1005862,1006758,-,897,DMT family transporter
NC_014532.2,1007494,1007871,+,378,hypothetical protein
NC_014532.2,1008056,1008805,-,750,class I SAM-dependent methyltransferase
NC_014532.2,1009161,1009385,+,225,hypothetical protein
NC_014532.2,1009610,1009984,+,375,hypothetical protein
NC_014532.2,1010603,1011877,-,1275,SGNH/GDSL hydrolase family protein
NC_014532.2,1012095,1014239,-,2145,carboxy terminal-processing peptidase
NC_014532.2,1014379,1015674,+,1296,M18 family aminopeptidase
NC_014532.2,1015889,1016980,-,1092,redox-regulated ATPase YchF
NC_014532.2,1017143,1017742,-,600,aminoacyl-tRNA hydrolase
NC_014532.2,1017907,1018560,-,654,50S ribosomal protein L25/general stress protein Ctc
NC_014532.2,1018674,1019615,-,942,ribose-phosphate pyrophosphokinase
NC_014532.2,1019790,1020647,-,858,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
NC_014532.2,1020640,1021263,-,624,lipoprotein insertase outer membrane protein LolB
NC_014532.2,1021302,1023020,-,1719,tetratricopeptide repeat protein
NC_014532.2,1023238,1024506,+,1269,glutamyl-tRNA reductase
NC_014532.2,1024516,1025607,+,1092,peptide chain release factor 1
NC_014532.2,1025607,1026455,+,849,peptide chain release factor N(5)-glutamine methyltransferase
NC_014532.2,1026632,1027132,+,501,Lrp/AsnC ligand binding domain-containing protein
NC_014532.2,1027138,1027884,+,747,molybdopterin-synthase adenylyltransferase MoeB
NC_014532.2,1028290,1029582,+,1293,FAD-binding oxidoreductase
NC_014532.2,1029616,1030758,+,1143,ABC transporter ATP-binding protein
NC_014532.2,1030769,1031689,+,921,ABC transporter permease
NC_014532.2,1031686,1032483,+,798,ABC transporter permease
NC_014532.2,1032521,1033585,+,1065,PotD/PotF family extracellular solute-binding protein
NC_014532.2,1033723,1035090,+,1368,glutamine synthetase family protein
NC_014532.2,1035191,1036249,+,1059,spermidine/putrescine ABC transporter substrate-binding protein
NC_014532.2,1036490,1037782,+,1293,FAD-binding oxidoreductase
NC_014532.2,1037970,1038533,+,564,glycine zipper 2TM domain-containing protein
NC_014532.2,1038589,1038819,-,231,formate dehydrogenase subunit delta
NC_014532.2,1038830,1039657,-,828,formate dehydrogenase accessory sulfurtransferase FdhD
NC_014532.2,1039654,1042536,-,2883,formate dehydrogenase subunit alpha
NC_014532.2,1042557,1044089,-,1533,NADH-quinone oxidoreductase subunit NuoF
NC_014532.2,1044089,1044580,-,492,formate dehydrogenase subunit gamma
NC_014532.2,1044708,1045769,+,1062,substrate-binding domain-containing protein
NC_014532.2,1045806,1047290,-,1485,Na+/H+ antiporter NhaC family protein
NC_014532.2,1047474,1048850,-,1377,glutamine synthetase family protein
NC_014532.2,1049108,1049875,+,768,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
NC_014532.2,1049902,1051287,+,1386,aspartate aminotransferase family protein
NC_014532.2,1051284,1052837,+,1554,aldehyde dehydrogenase
NC_014532.2,1052968,1053519,-,552,cupin domain-containing protein
NC_014532.2,1053542,1054996,-,1455,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
NC_014532.2,1054996,1056456,-,1461,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
NC_014532.2,1056502,1056789,-,288,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
NC_014532.2,1056961,1057998,+,1038,rod shape-determining protein
NC_014532.2,1058057,1058947,+,891,rod shape-determining protein MreC
NC_014532.2,1058948,1059439,+,492,rod shape-determining protein MreD
NC_014532.2,1059451,1060047,+,597,nucleoside triphosphate pyrophosphatase
NC_014532.2,1060121,1061584,+,1464,ribonuclease G
NC_014532.2,1061588,1065466,+,3879,YhdP family protein
NC_014532.2,1065463,1066917,+,1455,metalloprotease TldD
NC_014532.2,1067047,1067553,-,507,ribosome biogenesis factor YjgA
NC_014532.2,1067699,1069039,+,1341,metalloprotease PmbA
NC_014532.2,1069167,1069436,-,270,HPr family phosphocarrier protein
NC_014532.2,1069441,1070364,-,924,RNase adapter RapZ
NC_014532.2,1070413,1070892,-,480,PTS sugar transporter subunit IIA
NC_014532.2,1070899,1071210,-,312,"ribosome hibernation-promoting factor, HPF/YfiA family"
NC_014532.2,1071311,1072732,-,1422,RNA polymerase factor sigma-54
NC_014532.2,1072938,1073663,-,726,LPS export ABC transporter ATP-binding protein
NC_014532.2,1073660,1074190,-,531,lipopolysaccharide transport periplasmic protein LptA
NC_014532.2,1074187,1074771,-,585,LPS export ABC transporter periplasmic protein LptC
NC_014532.2,1074776,1075333,-,558,HAD family hydrolase
NC_014532.2,1075349,1076335,-,987,KpsF/GutQ family sugar-phosphate isomerase
NC_014532.2,1076374,1077327,-,954,calcium/sodium antiporter
NC_014532.2,1077469,1078281,+,813,ATP-binding cassette domain-containing protein
NC_014532.2,1078278,1079060,+,783,lipid asymmetry maintenance ABC transporter permease subunit MlaE
NC_014532.2,1079077,1079541,+,465,outer membrane lipid asymmetry maintenance protein MlaD
NC_014532.2,1079544,1080200,+,657,phospholipid-binding protein MlaC
NC_014532.2,1080197,1080541,+,345,lipid asymmetry maintenance protein MlaB
NC_014532.2,1080669,1080923,+,255,BolA family protein
NC_014532.2,1080938,1082200,+,1263,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
NC_014532.2,1082220,1082873,+,654,ATP phosphoribosyltransferase
NC_014532.2,1082912,1084234,+,1323,histidinol dehydrogenase
NC_014532.2,1084318,1085571,-,1254,Do family serine endopeptidase
NC_014532.2,1085668,1086429,+,762,Nif3-like dinuclear metal center hexameric protein
NC_014532.2,1086475,1086906,-,432,YhcB family protein
NC_014532.2,1087086,1088270,+,1185,cell division protein ZapE
NC_014532.2,1088570,1088998,+,429,50S ribosomal protein L13
NC_014532.2,1089012,1089401,+,390,30S ribosomal protein S9
NC_014532.2,1089717,1090322,+,606,ubiquinol-cytochrome c reductase iron-sulfur subunit
NC_014532.2,1090322,1091581,+,1260,cytochrome bc complex cytochrome b subunit
NC_014532.2,1091581,1092327,+,747,cytochrome c1
NC_014532.2,1092423,1093049,+,627,stringent starvation protein SspA
NC_014532.2,1093093,1093572,+,480,ClpXP protease specificity-enhancing factor
NC_014532.2,1093675,1094235,-,561,BON domain-containing protein
NC_014532.2,1094241,1094834,-,594,phosphoheptose isomerase
NC_014532.2,1094856,1095221,-,366,YraN family protein
NC_014532.2,1095208,1096965,-,1758,penicillin-binding protein activator
NC_014532.2,1097014,1097871,+,858,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
NC_014532.2,1098334,1099290,+,957,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
NC_014532.2,1099301,1099633,+,333,cell division protein FtsL
NC_014532.2,1099630,1101351,+,1722,penicillin-binding protein 2
NC_014532.2,1101382,1102893,+,1512,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
NC_014532.2,1102890,1104257,+,1368,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
NC_014532.2,1104266,1105348,+,1083,phospho-N-acetylmuramoyl-pentapeptide-transferase
NC_014532.2,1105396,1106784,+,1389,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
NC_014532.2,1106781,1107971,+,1191,putative lipid II flippase FtsW
NC_014532.2,1107968,1109053,+,1086,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
NC_014532.2,1109115,1110527,+,1413,UDP-N-acetylmuramate--L-alanine ligase
NC_014532.2,1110524,1111441,+,918,D-alanine--D-alanine ligase
NC_014532.2,1111443,1112168,+,726,cell division protein FtsQ/DivIB
NC_014532.2,1112367,1113656,+,1290,cell division protein FtsA
NC_014532.2,1113691,1114878,+,1188,cell division protein FtsZ
NC_014532.2,1114992,1115903,+,912,UDP-3-O-acyl-N-acetylglucosamine deacetylase
NC_014532.2,1115991,1116410,-,420,DUF721 domain-containing protein
NC_014532.2,1116556,1116921,+,366,hypothetical protein
NC_014532.2,1116982,1119705,+,2724,preprotein translocase subunit SecA
NC_014532.2,1119769,1120998,+,1230,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
NC_014532.2,1121090,1122037,+,948,Nudix family hydrolase
NC_014532.2,1122198,1123100,-,903,carbon-nitrogen hydrolase
NC_014532.2,1123097,1124155,-,1059,agmatine/peptidylarginine deiminase
NC_014532.2,1124301,1125542,+,1242,lipoprotein-releasing ABC transporter permease subunit
NC_014532.2,1125535,1126260,+,726,ABC transporter ATP-binding protein
NC_014532.2,1126166,1126825,-,660,DUF2062 domain-containing protein
NC_014532.2,1126947,1129286,+,2340,DNA internalization-related competence protein ComEC/Rec2
NC_014532.2,1129286,1131028,+,1743,lipid A export permease/ATP-binding protein MsbA
NC_014532.2,1131025,1132017,+,993,tetraacyldisaccharide 4'-kinase
NC_014532.2,1132212,1132421,+,210,Trm112 family protein
NC_014532.2,1132431,1133204,+,774,3-deoxy-manno-octulosonate cytidylyltransferase
NC_014532.2,1133201,1133680,+,480,low molecular weight protein-tyrosine-phosphatase
NC_014532.2,1133671,1134702,+,1032,UDP-N-acetylmuramate dehydrogenase
NC_014532.2,1134759,1135721,-,963,LysR substrate-binding domain-containing protein
NC_014532.2,1135844,1136713,+,870,pirin family protein
NC_014532.2,1136789,1137412,+,624,isochorismate family cysteine hydrolase YcaC
NC_014532.2,1137473,1138414,+,942,pirin family protein
NC_014532.2,1138502,1142041,-,3540,ribonuclease E
NC_014532.2,1142767,1143714,+,948,RluA family pseudouridine synthase
NC_014532.2,1143727,1144377,+,651,HAD family hydrolase
NC_014532.2,1144414,1145499,+,1086,signal peptide peptidase SppA
NC_014532.2,1145621,1146202,-,582,nucleoside triphosphate pyrophosphatase
NC_014532.2,1146314,1146841,+,528,YceD family protein
NC_014532.2,1146874,1147044,+,171,50S ribosomal protein L32
NC_014532.2,1147082,1148206,+,1125,phosphate acyltransferase PlsX
NC_014532.2,1148212,1149183,+,972,ACP S-malonyltransferase
NC_014532.2,1149215,1149958,+,744,3-oxoacyl-ACP reductase FabG
NC_014532.2,1150083,1150316,+,234,acyl carrier protein
NC_014532.2,1150555,1151793,+,1239,beta-ketoacyl-ACP synthase II
NC_014532.2,1151811,1152653,+,843,aminodeoxychorismate lyase
NC_014532.2,1152650,1153654,+,1005,endolytic transglycosylase MltG
NC_014532.2,1153673,1154326,+,654,dTMP kinase
NC_014532.2,1154323,1155312,+,990,DNA polymerase III subunit delta'
NC_014532.2,1155369,1156196,+,828,TatD family hydrolase
NC_014532.2,1156241,1156801,+,561,DUF1285 domain-containing protein
NC_014532.2,1156792,1158990,+,2199,ATP-dependent helicase
NC_014532.2,1158987,1159811,+,825,sulfurtransferase
NC_014532.2,1159829,1160599,-,771,MipA/OmpV family protein
NC_014532.2,1160828,1161109,-,282,hypothetical protein
NC_014532.2,1161226,1162365,+,1140,4-phosphoerythronate dehydrogenase PdxB
NC_014532.2,1162453,1163352,-,900,protease HtpX
NC_014532.2,1163479,1164708,-,1230,pyridoxal phosphate-dependent aminotransferase
NC_014532.2,1164772,1165722,-,951,ribosome biogenesis GTPase YlqF
NC_014532.2,1165809,1166210,-,402,peptide-methionine (R)-S-oxide reductase MsrB
NC_014532.2,1167353,1168309,+,957,ABC transporter ATP-binding protein
NC_014532.2,1168306,1169079,+,774,ABC transporter permease
NC_014532.2,1169083,1169919,+,837,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
NC_014532.2,1170036,1170596,+,561,nitroreductase family protein
NC_014532.2,1170593,1171108,+,516,YiiD C-terminal domain-containing protein
NC_014532.2,1171651,1172550,+,900,cation diffusion facilitator family transporter
NC_014532.2,1172672,1174261,-,1590,ABC-F family ATPase
NC_014532.2,1174422,1175693,-,1272,Y-family DNA polymerase
NC_014532.2,1175690,1176118,-,429,LexA family transcriptional regulator
NC_014532.2,1176689,1177936,+,1248,M20/M25/M40 family metallo-hydrolase
NC_014532.2,1178049,1178579,-,531,chromate transporter
NC_014532.2,1178576,1179142,-,567,chromate transporter
NC_014532.2,1179145,1180776,-,1632,gamma-glutamyltransferase family protein
NC_014532.2,1180904,1181587,+,684,GntR family transcriptional regulator
NC_014532.2,1181606,1182013,-,408,STAS/SEC14 domain-containing protein
NC_014532.2,1182299,1183537,+,1239,zinc metallochaperone GTPase ZigA
NC_014532.2,1183534,1184433,+,900,GTP cyclohydrolase FolE2
NC_014532.2,1184680,1185093,+,414,VOC family protein
NC_014532.2,1185103,1186407,-,1305,TRAP transporter large permease
NC_014532.2,1186408,1186959,-,552,TRAP transporter small permease
NC_014532.2,1186956,1187981,-,1026,TRAP transporter substrate-binding protein
NC_014532.2,1188139,1191261,-,3123,efflux RND transporter permease subunit
NC_014532.2,1191261,1192373,-,1113,efflux RND transporter periplasmic adaptor subunit
NC_014532.2,1192625,1193800,+,1176,NAD(P)/FAD-dependent oxidoreductase
NC_014532.2,1193911,1194882,+,972,CHAD domain-containing protein
NC_014532.2,1194874,1195608,-,735,ParA family protein
NC_014532.2,1195745,1196041,-,297,YqjK-like family protein
NC_014532.2,1196025,1196423,-,399,phage holin family protein
NC_014532.2,1196423,1196755,-,333,YqjD family protein
NC_014532.2,1196832,1197863,-,1032,phospholipase A
NC_014532.2,1197905,1201426,+,3522,mechanosensitive channel MscK
NC_014532.2,1201587,1201820,-,234,hypothetical protein
NC_014532.2,1202482,1203771,+,1290,HlyD family secretion protein
NC_014532.2,1203768,1205888,+,2121,peptidase domain-containing ABC transporter
NC_014532.2,1205899,1206654,-,756,TlyA family RNA methyltransferase
NC_014532.2,1206721,1207773,+,1053,AbrB family transcriptional regulator
NC_014532.2,1207764,1209812,-,2049,hypothetical protein
NC_014532.2,1209852,1211075,-,1224,acetyl-CoA carboxylase biotin carboxylase subunit family protein
NC_014532.2,1211591,1212301,+,711,tellurite resistance TerB family protein
NC_014532.2,1212345,1213385,+,1041,histone deacetylase family protein
NC_014532.2,1213417,1214448,-,1032,sodium:calcium antiporter
NC_014532.2,1214667,1216721,+,2055,DNA polymerase III subunit gamma/tau
NC_014532.2,1216810,1217136,+,327,YbaB/EbfC family nucleoid-associated protein
NC_014532.2,1217327,1217932,+,606,recombination mediator RecR
NC_014532.2,1217958,1219091,+,1134,ribonuclease D
NC_014532.2,1219088,1219390,+,303,YcgL domain-containing protein
NC_014532.2,1219529,1219975,+,447,YcgN family cysteine cluster protein
NC_014532.2,1219995,1220768,+,774,molybdate ABC transporter substrate-binding protein
NC_014532.2,1220838,1221533,+,696,molybdate ABC transporter permease subunit
NC_014532.2,1221530,1222624,+,1095,molybdenum ABC transporter ATP-binding protein
NC_014532.2,1222800,1224887,-,2088,S9 family peptidase
NC_014532.2,1224970,1225419,+,450,hypothetical protein
NC_014532.2,1225429,1227267,+,1839,VWA domain-containing protein
NC_014532.2,1227437,1227655,+,219,hypothetical protein
NC_014532.2,1227655,1228014,+,360,DUF2493 domain-containing protein
NC_014532.2,1228456,1228878,-,423,hypothetical protein
NC_014532.2,1228875,1230314,-,1440,hypothetical protein
NC_014532.2,1230318,1230515,-,198,hypothetical protein
NC_014532.2,1230564,1236968,-,6405,host specificity factor TipJ family phage tail protein
